,,Actual Put,Actual Call,LSM Put,% Err,LSM Call,% Err,BT Put,% Err,BT Call,% Err,,,,,STRIKE_DISTANCE,STRIKE,C_ASK,P_ASK,P_IV,C_IV
Strike,140,3.695,21.655,2.122633815,-42.55%,20.46675667,-5.49%,2.263305567,-63.26%,20.73455078,-4.25%,0.066272266,,,,22.9,135,25.75,2.78,0.39441,0.42804
,145,4.97,18.02,3.319045141,-33.22%,16.71839975,-7.22%,3.516631208,-41.33%,17.00241613,-5.65%,0.059530997,,,,17.9,140,21.7,3.74,0.38023,0.41031
,150,6.605,14.45,5.024392418,-23.93%,13.40213839,-7.25%,5.178014491,-27.56%,13.67553138,-5.36%,0.030575254,,,,12.9,145,18.09,5,0.36917,0.40038
,155,8.55,11.505,7.177691158,-16.05%,10.5999081,-7.87%,7.277187687,-17.49%,10.7832852,-6.27%,0.013861913,,,,7.9,150,14.5,6.65,0.35792,0.37939
,160,10.915,8.85,9.69703055,-11.16%,8.112643607,-8.33%,9.843469324,-10.89%,8.354432952,-5.60%,0.015101404,,,,2.9,155,11.56,8.6,0.3465,0.37036
,165,13.7,6.65,12.67480275,-7.48%,6.112884836,-8.08%,12.8343106,-6.75%,6.344364128,-4.60%,0.012584642,,,,2.1,160,8.9,10.99,0.33636,0.35925
,170,16.93,4.845,15.99146768,-5.54%,4.506562248,-6.99%,16.2111633,-4.43%,4.713416645,-2.72%,0.013738302,,,,7.1,165,6.7,13.75,0.32455,0.34969
,175,20.55,3.4,19.78330744,-3.73%,3.204243203,-5.76%,19.96306546,-2.94%,3.453309104,1.57%,0.009086348,,,,12.1,170,4.9,17.01,0.31492,0.3408
,,,,,,,,,,,,,,,,17.1,175,3.45,20.61,0.30595,0.33208
,,,,,,,,,,,,,,,,22.1,180,2.41,24.7,0.29932,0.32729
,,,,,,,,,,,,,,,,,,,,,
STRIKE_DISTANCE,STRIKE,P_IV,C_IV,,,,,,,,,,,,,,,,,,
17.9,140,0.38023,0.41031,,,,,,,,,,,,,,,,,,
12.9,145,0.36917,0.40038,,,,,,,,,,,,,,,,,,
7.9,150,0.35792,0.37939,,,,,,,,,,,,,,,,,,
2.9,155,0.3465,0.37036,,,,,,,,,,,,,,,,,,
2.1,160,0.33636,0.35925,,,,,,,,,,,,,,,,,,
7.1,165,0.32455,0.34969,,,,,,,,,,,,,,,,,,
12.1,170,0.31492,0.3408,,,,,,,,,,,,,,,,,,
17.1,175,0.30595,0.33208,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
